Station Number,Sample ID,Sample Date,Statutory Class,Attained Class,Report,Final Determination
S-49,507,8/22/1995,B,No,,C
S-49,2371,8/19/2015,B,No,View,NA
S-50,55,8/20/1984,B,No,Report,NA
S-51,56,8/21/1984,B,No,Report,C
S-52,SA-52-2005,7/18/2005,--,--,Report,
S-52,SA-52-2005R (429),7/18/2005,B,Yes,,A
S-52,SA-52-2005VB2,8/16/2005,--,--,,
S-52,SA-52-2010,6/24/2010,--,--,,
S-52,SA-52-2010R (937),6/24/2010,C,Yes,,A
S-52,SA-52-2015,7/13/2015,--,--,,
S-52,SA-52-2015R (1528),7/13/2015,C,Yes,,A
S-52,57,8/21/1984,B,No,Report,C
S-52,332,9/12/1991,B,No,,C
S-52,359,8/18/1992,B,No,,C
S-52,498,8/17/1995,B,No,,C
S-52,1356,8/23/2005,C,Yes,,C
S-52,1935,8/17/2010,C,Yes,View,C
S-52,2362,8/12/2015,C,Yes,View,C
S-53,58,8/21/1984,B,Yes,Report,B
S-53,495,8/17/1995,B,No,,C
S-54,59,8/21/1984,B,Yes,Report,B
S-54,496,8/17/1995,B,No,,C
S-55,60,8/22/1984,C,Yes,Report,C
S-55,740,8/28/1998,C,No,,NA
S-56,61,8/22/1984,C,Yes,Report,C
S-57,62,8/22/1984,C,Yes,Report,C
S-58,63,8/23/1984,C,Yes,Report,C
S-59,64,8/23/1984,B,Yes,Report,A
S-60,65,8/23/1984,B,Yes,Report,A
S-61,66,8/23/1984,C,Yes,Report,C
S-62,SA-62-2016,6/23/2016,--,--,Report,
S-62,SA-62-2016R (1613),6/23/2016,--,--,,
S-62,67,8/27/1984,B,Yes,Report,A
S-62,447,9/29/1993,B,Yes,,A
S-62,488,8/24/1994,B,Yes,,A
S-62,1552,8/9/2006,B,Yes,View,A
S-62,2023,8/9/2011,B,Yes,View,A
S-63,68,8/27/1984,C,Yes,Report,B
S-64,69,8/29/1984,C,Yes,Report,C
S-64,423,9/9/1993,C,Yes,,B
S-64,726,8/25/1998,C,Yes,,B
S-65,70,8/23/1984,C,Yes,Report,C
S-65,727,8/25/1998,C,Yes,,B
S-66,84,8/29/1984,B,No,Report,C
S-66,371,8/27/1992,B,Yes,,B
S-67,85,8/29/1984,B,Yes,Report,B
S-67,157,8/21/1985,B,No,,C
S-67,370,8/27/1992,B,Yes,,B
S-68,86,8/29/1984,B,No,Report,NA
S-68,210,8/31/1987,B,No,,NA
S-68,424,9/9/1993,B,Yes,,A
S-68,513,8/25/1995,B,Yes,,A
S-69,87,8/30/1984,B,Yes,Report,B
S-69,473,8/31/1994,B,Yes,,B
S-70,88,8/30/1984,B,No,Report,C
S-70,474,8/31/1994,B,Yes,,B
S-70,2355,8/10/2015,B,Yes,View,A
S-71,89,9/4/1984,B,No,Report,C
S-71,265,8/28/1989,B,No,,C
S-71,509,8/24/1995,B,No,,NA
S-72,90,9/4/1984,C,No,Report,NA
S-72,487,9/13/1994,C,No,,NA
S-72,510,8/24/1995,C,No,,NA
S-72,588,9/19/1996,C,No,,NA
S-72,1501,9/1/2005,C,Yes,,C
S-72,1929,8/16/2010,C,Yes,View,C
S-72,2372,8/17/2015,C,Yes,View,B
S-73,91,9/4/1984,B,Yes,Report,A
S-73,322,9/5/1991,B,Yes,,A
S-74,SA-74-2002,7/8/2002,--,--,Report,
S-74,SA-74-2002P (117),7/8/2002,--,--,,
S-74,SA-74-2002R (116),7/8/2002,AA,Yes,,A
S-74,SA-74-2003,7/1/2003,--,--,,
S-74,SA-74-2003R (193),7/1/2003,AA,No,,B
S-74,SA-74-2004,6/30/2004,--,--,,
S-74,SA-74-2004R (262),6/30/2004,AA,No,,B
S-74,SA-74-2005,6/27/2005,--,--,,
S-74,SA-74-2005R (392),6/27/2005,AA,No,,B
S-74,SA-74-2005VB,8/2/2005,--,--,,
S-74,SA-74-2006,7/19/2006,--,--,,
S-74,SA-74-2006R (556),7/19/2006,AA,No,,B
S-74,SA-74-2007,6/20/2007,--,--,,
S-74,SA-74-2007R (676),6/20/2007,AA,No,,B
S-74,SA-74-2008,6/23/2008,--,--,,
S-74,SA-74-2008R (731),6/23/2008,AA,Yes,,A
S-74,SA-74-2009,8/3/2009,--,--,,
S-74,SA-74-2009R (924),8/3/2009,AA,Yes,,A
S-74,SA-74-2010,6/21/2010,--,--,,
S-74,SA-74-2010R (932),6/21/2010,AA,Yes,,A
S-74,SA-74-2011,6/20/2011,--,--,,
S-74,SA-74-2011R (1051),6/20/2011,AA,Yes,,A
S-74,SA-74-2012,7/10/2012,--,--,,
S-74,SA-74-2012 (1150),7/10/2012,--,--,,
S-74,SA-74-2012R (1150),7/10/2012,AA,Yes,,A
S-74,SA-74-2013,7/11/2013,--,--,,
S-74,SA-74-2013R (1352),7/11/2013,AA,Yes,,A
S-74,SA-74-2014,6/24/2014,--,--,,
S-74,SA-74-2014 (1370),6/24/2014,--,--,,
S-74,SA-74-2014R (1370),6/24/2014,AA,No,,B
S-74,SA-74-2015,7/21/2015,--,--,,
S-74,SA-74-2015R (1539),7/21/2015,AA,No,,B
S-74,SA-74-2016,6/20/2016,--,--,,
S-74,SA-74-2016R (1607),6/20/2016,--,--,,
S-74,SA-74-2017,7/25/2017,--,--,,
S-74,SA-74-2017 (1700),7/25/2017,--,--,,
S-74,SA-74-2017R (1700),7/25/2017,--,--,,
S-74,SA-74-2018,6/18/2018,--,--,,
S-74,SA-74-2018 (1727),6/18/2018,--,--,,
S-74,SA-74-2018R (1727),6/18/2018,--,--,,
S-74,92,9/4/1984,AA,No,Report,B
S-74,127,7/3/1985,AA,Yes,,A
S-74,156,8/21/1985,AA,No,,B
S-74,185,9/5/1986,AA,No,,B
S-74,211,9/1/1987,AA,Yes,,A
S-74,227,8/22/1988,AA,No,,B
S-74,228,8/22/1988,AA,No,,B
S-74,229,8/22/1988,AA,Yes,,A
S-74,230,8/22/1988,AA,No,,B
S-74,231,8/22/1988,AA,Yes,,A
S-74,263,8/25/1989,AA,Yes,,A
S-74,298,8/30/1990,AA,Yes,,A
S-74,309,8/28/1991,AA,No,,B
S-74,360,8/20/1992,AA,Yes,,A
S-74,415,8/27/1993,AA,No,,B
S-74,480,9/7/1994,AA,No,,B
S-74,500,8/18/1995,AA,Yes,,A
S-74,501,8/18/1995,AA,Yes,,A
S-74,573,8/29/1996,AA,Yes,,A
S-74,574,8/29/1996,AA,Yes,,A
S-74,620,8/25/1997,AA,No,,B
