FID,FID_1,Station_Nu,Station,Town,County,Major_Drai,Site_Type,Sample_Typ,Latitude,Longitude,PctImperv
92,45,S-332,MARE BROOK - UNNAMED TRIBUTARY - STATION 332,BRUNSWICK,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.872274930000003,-69.937526199999994,0.0430000
93,8,S-143,MARE BROOK - STATION 143,BRUNSWICK,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.895241200000001,-69.952132689999999,0.1780000
94,9,S-144,MARE BROOK - STATION 144,BRUNSWICK,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.879597859999997,-69.923851299999995,0.1780000
95,43,S-330,MARE BROOK - UNNAMED TRIBUTARY - STATION 330,BRUNSWICK,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.885027569999998,-69.921005519999994,0.1780000
96,44,S-331,MARE BROOK - STATION 331,BRUNSWICK,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.882934870000000,-69.932518860000002,0.1780000
97,69,S-457,MARE BROOK - STATION 457,BRUNSWICK,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.881958339999997,-69.923665799999995,0.1780000
98,114,S-1064,MARE BROOK - STATION 1064,BRUNSWICK,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.900379999999998,-69.971860000000007,0.1780000
99,16,S-220,HATCHERY BROOK - STATION 220,GRAY,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.920797710000002,-70.346160979999993,0.0730000
100,36,S-316,COLE BROOK - STATION 316,GRAY,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.936574000000000,-70.339601349999995,0.0700000
101,37,S-317,COLE BROOK - STATION 317,GRAY,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.923885259999999,-70.339484100000007,0.0700000
102,84,S-639,NORTON BROOK - STATION 639,FALMOUTH,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.739852440000000,-70.219845570000004,0.1160000
103,125,S-1126,NORTON BROOK - STATION 1126,FALMOUTH,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.735266000000003,-70.223158999999995,0.1160000
104,17,S-221,LIBBY BROOK - STATION 221,GRAY,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.919972289999997,-70.327830149999997,0.0490000
105,47,S-379,LIBBY BROOK - STATION 379,GRAY,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.911464930000001,-70.332632079999996,0.0490000
106,6,S-141,EDDY BROOK - STATION 141,NEW GLOUCESTER,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.942837210000000,-70.328180390000000,0.0460000
107,7,S-142,EDDY BROOK - STATION 142,NEW GLOUCESTER,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.934897610000000,-70.323678029999996,0.0460000
108,35,S-304,FROST GULLY BROOK - STATION 304,FREEPORT,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.861513090000003,-70.092406990000001,0.0810000
109,34,S-303,FROST GULLY BROOK - STATION 303,FREEPORT,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.861094379999997,-70.094289700000004,0.1150000
110,76,S-477,FROST GULLY BROOK - STATION 477,FREEPORT,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.860181930000003,-70.093152489999994,0.1150000
111,22,S-227,COLLYER BROOK - STATION 227,GRAY,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.896779490000000,-70.294119240000001,0.0210000
112,77,S-496,CONCORD GULLY - STATION 496,FREEPORT,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.845300690000002,-70.108418020000002,0.1790000
113,78,S-497,CONCORD GULLY - STATION 497,FREEPORT,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.846275149999997,-70.106268700000001,0.1790000
114,79,S-498,CONCORD GULLY - STATION 498,FREEPORT,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.846025570000002,-70.104429229999994,0.1790000
115,105,S-816,MOOSE BROOK - STATION 816,AUBURN,ANDROSCOGGIN,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.022627290000003,-70.274036080000002,0.0930000
