Station Number,Station,Town,County,Major Drainage,Site Type,Sample Type,Latitude,Longitude
S-623,UNNAMED STREAM (WATERVILLE) - STATION 623,WATERVILLE,KENNEBEC,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.56484156,-69.63116407
S-624,SUCKER BROOK (HAMPDEN) - STATION 624,HAMPDEN,PENOBSCOT,PENOBSCOT,STREAM/RIVER BIOMONITORING,ALGAE,44.77326078,-68.79466894
S-624,SUCKER BROOK (HAMPDEN) - STATION 624,HAMPDEN,PENOBSCOT,PENOBSCOT,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.77326078,-68.79466894
S-625,GOOSE RIVER - STATION 625,ROCKPORT,KNOX,MAINE COASTAL,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.18950227,-69.07680486
S-626,DUCKTRAP RIVER - STATION 626,LINCOLNVILLE,WALDO,MAINE COASTAL,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.31428159,-69.04397173
S-627,LAMBERT BROOK - STATION 627,SKOWHEGAN,SOMERSET,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.77535811,-69.62565246
S-628,WHITTEN BROOK - STATION 628,SKOWHEGAN,SOMERSET,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.76602649,-69.72362891
S-629,SABATTUS RIVER - STATION 629,SABATTUS,ANDROSCOGGIN,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,ALGAE,44.11295020,-70.10763134
S-629,SABATTUS RIVER - STATION 629,SABATTUS,ANDROSCOGGIN,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.11295020,-70.10763134
S-630,SABATTUS RIVER - STATION 630,SABATTUS,ANDROSCOGGIN,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,ALGAE,44.10454166,-70.10303552
S-630,SABATTUS RIVER - STATION 630,SABATTUS,ANDROSCOGGIN,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.10454166,-70.10303552
S-631,UNNAMED STREAM (AVON) - STATION 631,AVON,FRANKLIN,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.79490621,-70.31896882
S-632,UNNAMED STREAM (AVON) - STATION 632,AVON,FRANKLIN,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.79781916,-70.31710158
S-633,UNNAMED STREAM (TOPSHAM 2) - STATION 633,TOPSHAM,SAGADAHOC,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.92456792,-69.95039790
S-634,UNNAMED STREAM (TOPSHAM 4) - STATION 634,TOPSHAM,SAGADAHOC,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,ALGAE,43.93188031,-69.98296734
S-634,UNNAMED STREAM (TOPSHAM 4) - STATION 634,TOPSHAM,SAGADAHOC,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.93188031,-69.98296734
S-635,KENNEBEC RIVER - STATION 635,BINGHAM,SOMERSET,KENNEBEC,STREAM/RIVER BIOMONITORING,ALGAE,45.03611004,-69.86757503
S-635,KENNEBEC RIVER - STATION 635,BINGHAM,SOMERSET,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,45.03611004,-69.86757503
S-636,KENNEBEC RIVER - STATION 636,BINGHAM,SOMERSET,KENNEBEC,STREAM/RIVER BIOMONITORING,ALGAE,45.03327805,-69.86457658
S-636,KENNEBEC RIVER - STATION 636,BINGHAM,SOMERSET,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,45.03327805,-69.86457658
S-637,MADAWASKA BROOK - STATION 637,PALMYRA,SOMERSET,KENNEBEC,STREAM/RIVER BIOMONITORING,ALGAE,44.82999487,-69.38016776
S-637,MADAWASKA BROOK - STATION 637,PALMYRA,SOMERSET,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.82999487,-69.38016776
S-638,NASON'S BROOK - STATION 638,PORTLAND,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,ALGAE,43.67071204,-70.31921607
S-638,NASON'S BROOK - STATION 638,PORTLAND,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.67071204,-70.31921607
S-639,NORTON BROOK - STATION 639,FALMOUTH,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.73985244,-70.21984557
S-640,UNNAMED STREAM (PORTLAND 6) - STATION 640,FALMOUTH,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.70389081,-70.26291490
S-641,UNNAMED STREAM (BRUNSWICK 2) - STATION 641,BRUNSWICK,CUMBERLAND,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.91538278,-69.98508896
S-642,UNNAMED STREAM (BRUNSWICK 3) - STATION 642,BRUNSWICK,CUMBERLAND,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.92167388,-69.95586328
S-643,UNNAMED STREAM (BRUNSWICK4) - STATION 643,BRUNSWICK,CUMBERLAND,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.91076731,-69.94130479
S-644,KENNEDY BROOK - STATION 644,PRESQUE ISLE,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,46.67161633,-67.99466102
S-645,KENNEDY BROOK - STATION 645,PRESQUE ISLE,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,46.67109249,-68.00392276
S-646,KENNEDY BROOK - STATION 646,PRESQUE ISLE,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,ALGAE,46.67771587,-68.01950768
S-646,KENNEDY BROOK - STATION 646,PRESQUE ISLE,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,46.67771587,-68.01950768
S-647,MEDUXNEKEAG RIVER - STATION 647,HOULTON,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,ALGAE,46.14202030,-67.82263934
S-648,SACO RIVER - STATION 648,BUXTON,YORK,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.61255027,-70.55121748
S-650,RICHARDSON BROOK - STATION 650,MOUNT DESERT,HANCOCK,MAINE COASTAL,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.36406596,-68.30049356
S-651,KENNEBEC RIVER - STATION 651,BINGHAM,SOMERSET,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,45.06430824,-69.89752574
S-652,ST CROIX RIVER - STATION 652,BAILEYVILLE,WASHINGTON,MAINE COASTAL,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,45.13900389,-67.36632291
S-653,ST CROIX RIVER - STATION 653,BAILEYVILLE,WASHINGTON,MAINE COASTAL,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,45.18844193,-67.41816111
S-654,CROOKED RIVER - STATION 654,NAPLES,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.96143191,-70.56752664
S-655,MUDDY RIVER - STATION 655,NAPLES,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,ALGAE,43.94990332,-70.62822679
S-655,MUDDY RIVER - STATION 655,NAPLES,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.94990332,-70.62822679
S-656,NORTHWEST RIVER - STATION 656,SEBAGO,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,ALGAE,43.86239770,-70.64222253
S-656,NORTHWEST RIVER - STATION 656,SEBAGO,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.86239770,-70.64222253
S-657,SUCKER BROOK (HAMPDEN) - STATION 657,HAMPDEN,PENOBSCOT,PENOBSCOT,STREAM/RIVER BIOMONITORING,ALGAE,44.77608802,-68.79841799
S-658,SUCKER BROOK (HAMPDEN) - STATION 658,HAMPDEN,PENOBSCOT,PENOBSCOT,STREAM/RIVER BIOMONITORING,ALGAE,44.77423973,-68.79525684
S-659,BULL BRANCH SUNDAY RIVER - STATION 659,RILEY TWP,OXFORD,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,ALGAE,44.50338353,-70.91491893
S-660,LITTLE ANDROSCOGGIN RIVER - STATION 660,PARIS,OXFORD,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,ALGAE,44.21688952,-70.51178595
S-660,LITTLE ANDROSCOGGIN RIVER - STATION 660,PARIS,OXFORD,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.21688952,-70.51178595
S-661,MATTAKEUNK STREAM - STATION 661,WINN,PENOBSCOT,PENOBSCOT,STREAM/RIVER BIOMONITORING,ALGAE,45.48827285,-68.30646448
S-662,MATTAWAMKEAG RIVER - STATION 662,MATTAWAMKEAG,PENOBSCOT,PENOBSCOT,STREAM/RIVER BIOMONITORING,ALGAE,45.50845513,-68.28650926
S-663,HART BROOK - STATION 663,LEWISTON,ANDROSCOGGIN,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,ALGAE,44.06777772,-70.20127776
S-664,WEST BRANCH NEZINSCOT RIVER - STATION 664,SUMNER,OXFORD,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,ALGAE,44.31805800,-70.41090706
S-664,WEST BRANCH NEZINSCOT RIVER - STATION 664,SUMNER,OXFORD,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.31805800,-70.41090706
S-665,SEBOEIS STREAM - STATION 665,HOWLAND,PENOBSCOT,PENOBSCOT,STREAM/RIVER BIOMONITORING,ALGAE,45.27086824,-68.69001676
S-665,SEBOEIS STREAM - STATION 665,HOWLAND,PENOBSCOT,PENOBSCOT,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,45.27086824,-68.69001676
S-666,BLOOD BROOK - STATION 666,KATAHDIN IRON WORKS TWP,PISCATAQUIS,PENOBSCOT,STREAM/RIVER BIOMONITORING,ALGAE,45.44473842,-69.17594628
S-667,MIDDLE BRANCH PLEASANT RIVER - STATION 667,EBEEMEE TWP,PISCATAQUIS,PENOBSCOT,STREAM/RIVER BIOMONITORING,ALGAE,45.41412561,-69.06704390
S-668,PASSADUMKEAG RIVER - STATION 668,PASSADUMKEAG,PENOBSCOT,PENOBSCOT,STREAM/RIVER BIOMONITORING,ALGAE,45.16890088,-68.54987294
S-669,TEN MILE RIVER - STATION 669,PORTER,OXFORD,SACO,STREAM/RIVER BIOMONITORING,ALGAE,43.88117602,-70.89260336
S-670,MERRILAND RIVER - STATION 670,WELLS,YORK,SACO,STREAM/RIVER BIOMONITORING,ALGAE,43.35965604,-70.60855759
S-671,LITTLE OSSIPEE RIVER - STATION 671,LIMERICK,YORK,SACO,STREAM/RIVER BIOMONITORING,ALGAE,43.63808306,-70.79781085
S-672,BARBERRY CREEK - STATION 672,SOUTH PORTLAND,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,ALGAE,43.62272376,-70.28274625
S-673,CROOKED RIVER - STATION 673,WATERFORD,OXFORD,SACO,STREAM/RIVER BIOMONITORING,ALGAE,44.23080540,-70.75371198
S-674,WILD RIVER - STATION 674,BATCHELDERS GRANT TWP,OXFORD,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,ALGAE,44.37058821,-70.99326198
S-675,TROUT BROOK - STATION 675,SOUTH PORTLAND,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,ALGAE,43.62946400,-70.24587900
S-675,TROUT BROOK - STATION 675,SOUTH PORTLAND,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.62946400,-70.24587900
S-676,MERRILL BROOK - STATION 676,NEWRY,OXFORD,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.48629380,-70.88939959
S-677,CUPSUPTIC RIVER - STATION 677,LOWER CUPSUPTIC TWP,OXFORD,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,ALGAE,45.03322193,-70.85502086
S-678,RANGELEY RIVER - STATION 678,RANGELEY,FRANKLIN,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,ALGAE,44.97040940,-70.77606334
S-679,MARTIN STREAM (DIXMONT) - STATION 679,DIXMONT,PENOBSCOT,KENNEBEC,STREAM/RIVER BIOMONITORING,ALGAE,44.72562269,-69.17290165
S-679,MARTIN STREAM (DIXMONT) - STATION 679,DIXMONT,PENOBSCOT,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.72562269,-69.17290165
S-680,MARTIN STREAM (DIXMONT) - STATION 680,PLYMOUTH,PENOBSCOT,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.73747201,-69.15231951
S-681,COVE BROOK - STATION 681,WINTERPORT,WALDO,PENOBSCOT,STREAM/RIVER BIOMONITORING,ALGAE,44.68557561,-68.87163060
S-681,COVE BROOK - STATION 681,WINTERPORT,WALDO,PENOBSCOT,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.68557561,-68.87163060
S-682,BIRCH STREAM - STATION 682,BANGOR,PENOBSCOT,PENOBSCOT,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.82525665,-68.80655245
S-683,KENDUSKEAG STREAM - STATION 683,BANGOR,PENOBSCOT,PENOBSCOT,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.82547357,-68.80599303
S-685,KENNEBAGO RIVER - STATION 685,RANGELEY,FRANKLIN,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,ALGAE,44.98465588,-70.78681399
S-686,WEST BRANCH PLEASANT RIVER - STATION 686,KATAHDIN IRON WORKS TWP,PISCATAQUIS,PENOBSCOT,STREAM/RIVER BIOMONITORING,ALGAE,45.47191469,-69.23115799
S-687,NORTH BRANCH PRESQUE ISLE STREAM - STATION 687,MAPLETON,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,ALGAE,46.68256767,-68.09672031
S-687,NORTH BRANCH PRESQUE ISLE STREAM - STATION 687,MAPLETON,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,46.68256767,-68.09672031
S-688,DICKEY BROOK - STATION 688,CROSS LAKE TWP,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,ALGAE,47.15360728,-68.36275975
S-688,DICKEY BROOK - STATION 688,CROSS LAKE TWP,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,47.15360728,-68.36275975
S-689,GARDNER BROOK - STATION 689,WADE,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,ALGAE,46.75861253,-68.23949298
S-689,GARDNER BROOK - STATION 689,WADE,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,46.75861253,-68.23949298
S-690,PRESTILE STREAM - STATION 690,WESTFIELD,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,ALGAE,46.57194583,-67.91984811
S-690,PRESTILE STREAM - STATION 690,WESTFIELD,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,46.57194583,-67.91984811
S-691,BIRCH STREAM - STATION 691,BANGOR,PENOBSCOT,PENOBSCOT,STREAM/RIVER BIOMONITORING,ALGAE,44.82340043,-68.80848449
S-692,UNNAMED STREAM (CAPE ELIZABETH) - STATION 692,CAPE ELIZABETH,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.61922294,-70.21701869
S-693,MARTIN STREAM - STATION 693,TURNER,ANDROSCOGGIN,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,ALGAE,44.25941460,-70.29178017
S-693,MARTIN STREAM - STATION 693,TURNER,ANDROSCOGGIN,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.25941460,-70.29178017
S-694,STONY BROOK - STATION 694,PARIS,OXFORD,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.24595769,-70.45612188
S-695,GULLY BROOK - STATION 695,AUBURN,ANDROSCOGGIN,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,ALGAE,44.10812190,-70.23550108
S-695,GULLY BROOK - STATION 695,AUBURN,ANDROSCOGGIN,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.10812190,-70.23550108
S-696,TAYLOR BROOK - STATION 696,AUBURN,ANDROSCOGGIN,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,ALGAE,44.07893298,-70.24062340
S-696,TAYLOR BROOK - STATION 696,AUBURN,ANDROSCOGGIN,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.07893298,-70.24062340
S-697,HALFMOON STREAM - STATION 697,THORNDIKE,WALDO,KENNEBEC,STREAM/RIVER BIOMONITORING,ALGAE,44.57500421,-69.27589842
S-697,HALFMOON STREAM - STATION 697,THORNDIKE,WALDO,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.57500421,-69.27589842
S-698,MILL BROOK  - STATION 698,PORTER,OXFORD,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.79645431,-70.93316259
S-699,DENNYS RIVER - STATION 699,MEDDYBEMPS,WASHINGTON,MAINE COASTAL,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,45.03746673,-67.35685210
S-700,UNNAMED BROOK (APPLETON TWP) - STATION 700,APPLETON TWP,SOMERSET,KENNEBEC,STREAM/RIVER BIOMONITORING,ALGAE,45.45372539,-70.48163529
S-700,UNNAMED BROOK (APPLETON TWP) - STATION 700,APPLETON TWP,SOMERSET,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,45.45372539,-70.48163529
S-701,UNNAMED BROOK (APPLETON TWP) - STATION 701,APPLETON TWP,SOMERSET,KENNEBEC,STREAM/RIVER BIOMONITORING,ALGAE,45.45615351,-70.48344059
S-701,UNNAMED BROOK (APPLETON TWP) - STATION 701,APPLETON TWP,SOMERSET,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,45.45615351,-70.48344059
S-702,MEADOW BROOK - STATION 702,LINCOLN PLT,OXFORD,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,ALGAE,44.90537730,-71.01986851
S-702,MEADOW BROOK - STATION 702,LINCOLN PLT,OXFORD,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.90537730,-71.01986851
S-703,MEADOW BROOK - STATION 703,LINCOLN PLT,OXFORD,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,ALGAE,44.90384599,-71.02112415
S-703,MEADOW BROOK - STATION 703,LINCOLN PLT,OXFORD,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.90384599,-71.02112415
S-704,DUD BROOK - STATION 704,T05 R06 BKP WKR,SOMERSET,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,45.42665969,-70.46482772
S-705,DUD BROOK - STATION 705,T05 R06 BKP WKR,SOMERSET,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,45.42381181,-70.46621548
S-706,UNNAMED BROOK - WEST BRANCH (PIERCE POND TWP) - STATION 706,PIERCE POND TWP,SOMERSET,KENNEBEC,STREAM/RIVER BIOMONITORING,ALGAE,45.28093152,-70.19543163
S-706,UNNAMED BROOK - WEST BRANCH (PIERCE POND TWP) - STATION 706,PIERCE POND TWP,SOMERSET,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,45.28093152,-70.19543163
S-707,UNNAMED BROOK - WEST BRANCH (PIERCE POND TWP) - STATION 707,PIERCE POND TWP,SOMERSET,KENNEBEC,STREAM/RIVER BIOMONITORING,ALGAE,45.27982166,-70.19454366
S-707,UNNAMED BROOK - WEST BRANCH (PIERCE POND TWP) - STATION 707,PIERCE POND TWP,SOMERSET,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,45.27982166,-70.19454366
S-708,UNNAMED BROOK - EAST BRANCH (PIERCE POND TWP) - STATION 708,PIERCE POND TWP,SOMERSET,KENNEBEC,STREAM/RIVER BIOMONITORING,ALGAE,45.28204336,-70.18637571
S-708,UNNAMED BROOK - EAST BRANCH (PIERCE POND TWP) - STATION 708,PIERCE POND TWP,SOMERSET,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,45.28204336,-70.18637571
S-709,UNNAMED BROOK - EAST BRANCH (PIERCE POND TWP) - STATION 709,PIERCE POND TWP,SOMERSET,KENNEBEC,STREAM/RIVER BIOMONITORING,ALGAE,45.28242626,-70.18868956
S-709,UNNAMED BROOK - EAST BRANCH (PIERCE POND TWP) - STATION 709,PIERCE POND TWP,SOMERSET,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,45.28242626,-70.18868956
S-710,UNNAMED BROOK (SKINNER TWP) - STATION 710,SKINNER TWP,FRANKLIN,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,45.48104681,-70.57661294
S-711,UNNAMED BROOK (SKINNER TWP) - STATION 711,SKINNER TWP,FRANKLIN,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,45.48448934,-70.57601154
S-712,UNNAMED BROOK (SMART BROOK) - STATION 712,SKINNER TWP,FRANKLIN,KENNEBEC,STREAM/RIVER BIOMONITORING,ALGAE,45.47505125,-70.58996430
S-712,UNNAMED BROOK (SMART BROOK) - STATION 712,SKINNER TWP,FRANKLIN,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,45.47505125,-70.58996430
S-713,UNNAMED BROOK (SMART BROOK) - STATION 713,SKINNER TWP,FRANKLIN,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,45.47675146,-70.59283915
S-714,UNNAMED BROOK (MASS GORE 2) - STATION 714,MASSACHUSETTS GORE,FRANKLIN,KENNEBEC,STREAM/RIVER BIOMONITORING,ALGAE,45.32690582,-70.80064192
S-714,UNNAMED BROOK (MASS GORE 2) - STATION 714,MASSACHUSETTS GORE,FRANKLIN,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,45.32690582,-70.80064192
S-715,UNNAMED BROOK (MASS GORE 2) - STATION 715,MASSACHUSETTS GORE,FRANKLIN,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,45.32823015,-70.79743738
S-716,UNNAMED BROOK (MASS GORE 1) - STATION 716,MASSACHUSETTS GORE,FRANKLIN,KENNEBEC,STREAM/RIVER BIOMONITORING,ALGAE,45.34285987,-70.81009359
S-716,UNNAMED BROOK (MASS GORE 1) - STATION 716,MASSACHUSETTS GORE,FRANKLIN,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,45.34285987,-70.81009359
S-717,UNNAMED BROOK (MASS GORE 1) - STATION 717,MASSACHUSETTS GORE,FRANKLIN,KENNEBEC,STREAM/RIVER BIOMONITORING,ALGAE,45.34176983,-70.80722911
S-717,UNNAMED BROOK (MASS GORE 1) - STATION 717,MASSACHUSETTS GORE,FRANKLIN,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,45.34176983,-70.80722911
S-718,UNNAMED BROOK (ROXBURY) - STATION 718,ROXBURY,OXFORD,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,ALGAE,44.67165558,-70.64610135
S-718,UNNAMED BROOK (ROXBURY) - STATION 718,ROXBURY,OXFORD,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.67165558,-70.64610135
S-719,UNNAMED BROOK (ROXBURY) - STATION 719,ROXBURY,OXFORD,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,ALGAE,44.67269134,-70.64860188
S-719,UNNAMED BROOK (ROXBURY) - STATION 719,ROXBURY,OXFORD,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.67269134,-70.64860188
S-720,UNNAMED BROOK (BALD MOUNTAIN TWP) - STATION 720,BALD MOUNTAIN TWP T02 R03,SOMERSET,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,45.26771695,-69.80001011
S-721,UNNAMED BROOK (BALD MOUNTAIN TWP) - STATION 721,BALD MOUNTAIN TWP T02 R03,SOMERSET,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,45.26991102,-69.80164047
S-722,CROOKED RIVER - STATION 722,ALBANY TWP,OXFORD,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.26894694,-70.78543608
S-723,CROOKED RIVER - STATION 723,HARRISON,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.15314478,-70.60286908
S-724,FISH STREAM - STATION 724,CRYSTAL,AROOSTOOK,PENOBSCOT,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,46.00927472,-68.31641384
S-725,LITTLE BLACK RIVER - STATION 725,ALLAGASH,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,ALGAE,47.12483265,-69.09718682
S-726,CARTER BROOK - STATION 726,ASHLAND,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,46.63094792,-68.41564524
S-727,PERLEY BROOK - STATION 727,FORT KENT,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,ALGAE,47.24094456,-68.57972397
S-727,PERLEY BROOK - STATION 727,FORT KENT,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,47.24094456,-68.57972397
S-728,BIG BROOK - STATION 728,MADAWASKA,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,ALGAE,47.25913279,-68.25961269
S-728,BIG BROOK - STATION 728,MADAWASKA,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,47.25913279,-68.25961269
S-729,VIOLETTE STREAM - STATION 729,VAN BUREN,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,ALGAE,47.15920126,-67.93849527
S-729,VIOLETTE STREAM - STATION 729,VAN BUREN,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,47.15920126,-67.93849527
S-730,LITTLE MADAWASKA RIVER - STATION 730,CONNOR TWP,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,ALGAE,46.96932274,-68.01981730
S-730,LITTLE MADAWASKA RIVER - STATION 730,CONNOR TWP,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,46.96932274,-68.01981730
S-731,LITTLE MADAWASKA RIVER - STATION 731,CARIBOU,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,ALGAE,46.88448081,-67.94795218
S-731,LITTLE MADAWASKA RIVER - STATION 731,CARIBOU,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,46.88448081,-67.94795218
S-732,LIMESTONE STREAM - STATION 732,LIMESTONE,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,ALGAE,46.90695822,-67.81359433
