FID,FID_1,Station_Nu,Station,Town,County,Major_Drai,Site_Type,Sample_Typ,Latitude,Longitude,PctImperv
202,29,S-238,PRESUMPSCOT RIVER - STATION 238,WESTBROOK,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.682198520000000,-70.354644350000001,0.0000000
203,35,S-295,PRESUMPSCOT RIVER - STATION 295,WESTBROOK,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.677916549999999,-70.365339849999998,0.0000000
204,45,S-325,PRESUMPSCOT RIVER - STATION 325,WINDHAM,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.777185150000001,-70.451834529999999,0.0000000
205,46,S-326,PRESUMPSCOT RIVER - STATION 326,WINDHAM,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.769707130000000,-70.445813479999998,0.0000000
206,47,S-327,PRESUMPSCOT RIVER - STATION 327,WINDHAM,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.745005519999999,-70.439314120000006,0.0000000
207,83,S-472,TANNERY BROOK - STATION 472,GORHAM,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.689496149999997,-70.436869270000003,0.0000000
208,84,S-473,TANNERY BROOK - STATION 473,GORHAM,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.690197210000001,-70.436284090000001,0.0000000
209,138,S-802,PRESUMPSCOT RIVER - STATION 802,FALMOUTH,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.728191170000002,-70.285566810000006,0.0000000
210,167,W-006,ALLEN BOG SITE A - W-006,GRAY,CUMBERLAND,SACO,WETLAND,WETLAND,43.866669760000001,-70.377740020000005,0.0000000
211,168,W-007,UNNAMED TRIBUTARY TO SEBAGO LAKE - W-007,STANDISH,CUMBERLAND,SACO,WETLAND,WETLAND,43.779585910000002,-70.550618830000005,0.0000000
212,172,W-011,BARBERRY CREEK - W-011,SOUTH PORTLAND,CUMBERLAND,SACO,WETLAND,WETLAND,43.630389549999997,-70.278511190000003,0.0000000
213,177,W-016,CROOKED RIVER (BACKWATER) - W-016,WATERFORD,OXFORD,SACO,WETLAND,WETLAND,44.196568980000002,-70.649209409999997,0.0000000
214,193,W-032,HOLT POND - W-032,BRIDGTON,CUMBERLAND,SACO,WETLAND,WETLAND,43.977927360000002,-70.678710159999994,0.0000000
215,196,W-035,SHAKER BOG - W-035,POLAND,ANDROSCOGGIN,SACO,WETLAND,WETLAND,43.995766590000002,-70.377847130000006,0.0000000
216,197,W-036,RUNAROUND POND - W-036,DURHAM,ANDROSCOGGIN,SACO,WETLAND,WETLAND,43.954252830000001,-70.173490060000006,0.0000000
217,201,W-128,GREAT POND - W-128,CAPE ELIZABETH,CUMBERLAND,SACO,WETLAND,WETLAND,43.577761940000002,-70.231543970000004,0.0000000
218,212,W-224,CAPISIC POND - W-224,PORTLAND,CUMBERLAND,SACO,WETLAND,WETLAND,43.666507029999998,-70.307625979999997,0.0000000
